# 01/06/2025 10:33:18 AM: Prices - EPEX Spot Market Auction - germany_luxembourg - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
12/04/2025,"107.84,104.41,100.93,,98.15,98.99,99.08,104.42,99.74,95.49,67.26,20.19,0,-9.23,-40.04,-42.01,-18.68,-0.08,59.47,111.31,150.06,120.89,91,86.27,64.27,-42.01,150.06,102.83,100.56,45.74,-27.49,80.19,90.61,65.41,32.81,101.57,101.7,9.12,98,91.73,-7.27,-0.33,103.97,-14.96"
11/04/2025,"65.32,60.75,58.44,,58.43,61.93,71.99,94.2,111.4,85.9,58.89,11.31,0,-3,-4.99,-3.61,-0.1,0,70.15,110.69,133.4,155,130.46,119.1,105.49,-4.99,155,60.74,84.88,39.03,-2.93,78.56,127.51,64.63,38.22,62.81,72.81,18.05,91.04,87.6,0.83,16.61,125.69,-0.07"
10/04/2025,"92.9,89.55,88.9,,87.92,90,97.54,132.44,170.59,135.44,102.4,85.71,66.34,34.95,2.18,0.08,1.18,54.44,70,101.68,140.42,137.17,97.56,92.05,81.11,0.08,170.59,89.82,122.64,97.47,9.6,91.64,101.97,85.52,66.24,91.14,106.23,53.54,104.81,135.22,47.3,31.43,108.33,31.74"
09/04/2025,"104.99,95.99,94.67,,94.45,95.79,109.45,152.68,175.56,131.56,99.51,82.71,59.69,13.61,6.72,13.27,34.87,62.98,83.5,103.48,131.57,138.73,111.23,101.94,98.51,6.72,175.56,97.53,133.37,93.37,17.12,95.38,112.6,91.56,68.62,99.22,115.45,55.24,114.5,139.83,40.68,48.66,114.24,35.15"
08/04/2025,"94.93,87.83,89.06,,89.9,91.62,105.73,142.97,180.55,136.77,91.3,76.47,61.09,19.57,16.83,28.59,57.47,73.33,90.34,118.26,180.4,171.31,140,120.47,105.12,16.83,180.55,90.43,130.22,91.41,30.62,115.58,134.23,98.75,79.2,93.18,110.32,61.01,118.29,137.9,43.49,62.43,139.26,43.34"
07/04/2025,"86.71,85,81.73,,83.53,85.45,98.74,131.1,175.97,144.61,107.1,83.37,65,11.8,2.19,3.94,60.98,72,102.43,127.6,168.45,165.05,138.2,121.02,105.21,2.19,175.97,84.24,122.82,100.02,19.73,117.62,132.37,96.13,79.12,86.86,103.53,59.87,113.14,139.7,40.59,59.84,137.59,37.88"
06/04/2025,"70.45,61,62.72,,68.28,69.95,77.43,76.54,78.11,41.79,0.1,-2,-27.56,-60.01,-106.31,-114.57,-70,-18.95,1.76,112.41,131.56,132.9,121.38,111.84,100.03,-114.57,132.9,65.61,75.51,3.08,-87.72,56.7,116.54,38.29,-9.32,68.31,70.56,-42.32,85.89,49.14,-48.97,-50.44,118.35,-63.41"
05/04/2025,"109.23,102.76,99.39,,99.4,98.31,97.5,102.98,105.9,98.3,57.16,0.66,-0.94,-24.09,-47.73,-49.1,-29.91,-4.3,0,70,99.4,98.9,84.25,78.99,68.75,-49.1,109.23,102.7,101.17,38.8,-37.71,41.28,82.72,54.83,14.12,101.1,101.93,0.54,95.53,91.09,-18.03,-20.83,83.38,-25.19"
04/04/2025,"108.34,103.04,102.89,,103.61,105.95,112.55,152.67,180.17,139.4,95.68,65,7.82,0,-1.31,-1.21,-0.13,29.7,79.87,126.35,167.64,155.99,120.67,106.15,96.97,-1.31,180.17,104.47,137.84,76.98,-0.66,100.89,119.95,89.91,59.07,106.06,121.15,38.16,120.75,141.98,17.88,27.06,128.96,11.7"
03/04/2025,"67,67,67,,68.95,71,86.22,129.71,162.77,133.3,79.11,40.47,-0.16,-1.19,-8.4,-5.85,-0.27,16.09,75,138,163.48,155.88,137.03,113.21,104.63,-8.4,163.48,67.49,112.43,63.18,-3.93,98.14,127.69,77.5,52.47,71.2,89.96,29.63,102.53,126.22,7.68,21.24,135.37,4.1"
02/04/2025,"68.06,66.93,66.8,,67.97,68.9,82.18,113.84,150.31,124.7,84.74,48.38,0,-4.92,-20.06,-21.02,-10,-1.73,15.37,88.84,125.35,114,96.07,82.63,71.43,-21.02,150.31,67.44,103.81,64.46,-14,56.96,91.03,61.62,35.8,70.14,85.62,25.23,87.43,118.4,5.85,-4.35,96.39,-1.27"
