# 26/05/2025 10:34:21 AM: Prices - EPEX Spot Market Auction - austria - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
13/04/2025,"80.31,66.16,63.06,,63.09,63.05,64.11,63.01,27.75,12.87,8.43,0,-0.02,-5.28,-18.84,-25.38,-9.93,-0.01,63.07,104.99,119.39,121.44,98.49,107.13,98.98,-25.38,121.44,68.16,54.48,5.32,-14.86,71.86,106.51,48.58,20.77,66.63,61.32,-4.77,76.38,28.02,-6.04,6.94,108.4,-9.91"
12/04/2025,"112,108.7,104.91,,102.93,104.05,103.88,110.48,104.95,99.13,69.35,20.19,0,-7.6,-24.65,-30.64,-0.06,0.18,89.32,118.63,161.45,147.58,105.99,101.97,82.75,-30.64,161.45,107.14,105.84,47.17,-15.74,92.4,109.57,74.4,41.28,106.08,106.49,15.72,107.52,95.98,-3.02,14.7,119.73,-7.13"
11/04/2025,"81.68,79.16,69.77,,70.13,75.39,85.9,108.95,111.4,94.22,64.94,15.57,0.34,0,-0.13,-2.52,-0.04,20.06,80.05,104.41,117.12,148.13,118.54,116,110.79,-2.52,148.13,75.19,95.41,43.77,-0.67,80.41,123.37,69.58,41.17,77.01,85.3,21.55,97.99,94.88,3.95,24.39,119.17,2.2"
10/04/2025,"100.27,95.03,94.5,,93.83,97.21,104.97,140.19,174.9,137.75,104.29,88.05,70.36,40.28,2.55,0.09,2.34,65.47,80.87,106.8,157.1,160.09,118.05,102.89,85.76,0.09,174.9,95.91,129.32,100.11,11.32,102.56,116.7,92.65,71.33,97.64,112.61,55.71,113.97,139.28,50.31,37.19,121.78,33.95"
09/04/2025,"109.65,102,99.96,,100.3,101.47,116.72,164.01,175.56,131.56,102.62,85.34,65.08,15.69,21.11,54.74,76.73,82.14,109.42,124.26,148.9,150,122.17,113.66,108.11,15.69,175.56,102.98,139.44,96.15,42.07,116.18,123.49,103.38,84.8,105.02,121.21,69.11,121.97,143.44,46.81,80.76,127.85,53.12"
08/04/2025,"95.01,89.94,91.15,,93.11,94.59,111.25,149.09,179.93,136.77,91.33,81.98,79.9,65.5,60.67,73.24,84.14,89.33,99.79,128.27,159.98,172.22,139.52,124.37,109.92,60.67,179.93,92.3,133.72,97.5,70.89,119.34,136.51,108.38,95.91,95.84,113.01,84.19,120.84,139.28,72.01,86.63,139.05,74.24"
07/04/2025,"90.01,88.68,85.02,,87.3,88.98,101.88,132.32,174.53,144.33,109.25,84.73,65,43.92,44.66,60.7,74.52,93.1,110.09,129.14,174.98,156.8,136.34,122.91,107.86,43.92,174.98,87.75,124.43,100.83,55.95,126.83,130.98,104.46,94.54,90.31,106.09,78.39,114.39,140.11,59.58,84.6,138.01,62.26"
06/04/2025,"70.45,62.3,64.46,,70.88,72.45,80.72,79.75,81.29,42.87,0.1,-2,-27.47,-59.89,-115.63,-137.71,-86.52,-24.56,-6.59,108.97,129.17,132,123.79,114.33,102.27,-137.71,132,67.02,78.55,3.38,-99.94,51.75,118.1,36.48,-14.94,70.21,72.79,-48.28,87.89,51,-51.25,-63.85,118.42,-71.54"
05/04/2025,"115.52,108.85,105.63,,106.31,105.76,105.37,111.07,113.46,102.96,57.7,0.66,-0.76,-18.04,-44.65,-46.59,-29.89,-4.17,0.1,65.1,93.7,109.92,90.41,78.99,68.75,-46.59,115.52,109.08,108.92,40.14,-34.79,38.68,87.02,58.17,14.68,107.91,109,2.67,101.67,96.3,-15.7,-20.14,84.48,-23.21"
04/04/2025,"110.39,104.97,106.76,,106.76,108.46,115.1,153.05,180.17,142.34,96.85,65,7.82,0,-0.99,-0.91,0.97,37.18,86.64,126.35,177.87,159.72,127.06,119.3,102.97,-0.99,180.17,107.22,139.2,78,-0.23,107.01,127.26,93.08,61.59,108.74,123.21,38.89,124.56,143.1,17.96,30.97,135.55,11.98"
